epoch,lr-Adam/geometry.density_network,lr-Adam/geometry.encoding.encoding.encoding,lr-Adam/geometry.encoding.encoding.encoding_time,lr-Adam/geometry.feature_network,step,train/grad_norm,train/grad_norm_3d,train/loss_mask,train/loss_rgb,train/loss_sd_3d,train/loss_sds_video,train/max_step_3d,train/min_step_3d,train_params/lambda_3d_sd,train_params/lambda_mask,train_params/lambda_normal_smoothness_2d,train_params/lambda_opaque,train_params/lambda_orient,train_params/lambda_rgb,train_params/lambda_sds_video,train_params/lambda_sparsity,train_params/lambda_tv,train_params/lambda_z_variance,trian/loss_normal_smoothness_2d
,0.001,0.0001,0.01,0.001,64,,,,,,,,,,,,,,,,,,,
0,,,,,64,134.36927795410156,5.628644943237305,0.02763386443257332,0.009135277941823006,15.840821266174316,9027.55078125,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.005506930872797966
,0.001,0.0001,0.01,0.001,65,,,,,,,,,,,,,,,,,,,
0,,,,,65,69.12063598632812,5.628644943237305,0.02763386443257332,0.009135277941823006,15.840821266174316,2388.8310546875,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.0095151262357831
,0.001,0.0001,0.01,0.001,66,,,,,,,,,,,,,,,,,,,
0,,,,,66,775.2471923828125,5.628644943237305,0.02763386443257332,0.009135277941823006,15.840821266174316,300504.09375,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.008416668511927128
,0.001,0.0001,0.01,0.001,67,,,,,,,,,,,,,,,,,,,
0,,,,,67,265.2911376953125,5.628644943237305,0.02763386443257332,0.009135277941823006,15.840821266174316,35189.6953125,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.005464237183332443
,0.001,0.0001,0.01,0.001,68,,,,,,,,,,,,,,,,,,,
0,,,,,68,463.277587890625,5.628644943237305,0.02763386443257332,0.009135277941823006,15.840821266174316,107313.0625,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.008658593520522118
,0.001,0.0001,0.01,0.001,69,,,,,,,,,,,,,,,,,,,
0,,,,,69,416.2287292480469,5.628644943237305,0.02763386443257332,0.009135277941823006,15.840821266174316,86623.171875,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.010009165853261948
,0.001,0.0001,0.01,0.001,70,,,,,,,,,,,,,,,,,,,
0,,,,,70,55.4648551940918,5.628644943237305,0.02763386443257332,0.009135277941823006,15.840821266174316,1538.175048828125,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.005588178522884846
,0.001,0.0001,0.01,0.001,71,,,,,,,,,,,,,,,,,,,
0,,,,,71,278.1784362792969,5.628644943237305,0.02763386443257332,0.009135277941823006,15.840821266174316,38691.6171875,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.008535215631127357
,0.001,0.0001,0.01,0.001,72,,,,,,,,,,,,,,,,,,,
0,,,,,72,58.56112289428711,5.628644943237305,0.02763386443257332,0.009135277941823006,15.840821266174316,1714.70263671875,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.0055021801963448524
,0.001,0.0001,0.01,0.001,73,,,,,,,,,,,,,,,,,,,
0,,,,,73,195.8506622314453,5.628644943237305,0.02763386443257332,0.009135277941823006,15.840821266174316,19178.7421875,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.004913332872092724
,0.001,0.0001,0.01,0.001,74,,,,,,,,,,,,,,,,,,,
0,,,,,74,253.56256103515625,10.993903160095215,0.026992954313755035,0.009445606730878353,60.43294906616211,32146.984375,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.0055601829662919044
,0.001,0.0001,0.01,0.001,75,,,,,,,,,,,,,,,,,,,
0,,,,,75,44.23172378540039,10.993903160095215,0.026992954313755035,0.009445606730878353,60.43294906616211,978.2227172851562,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.007853594608604908
,0.001,0.0001,0.01,0.001,76,,,,,,,,,,,,,,,,,,,
0,,,,,76,217.0858917236328,10.993903160095215,0.026992954313755035,0.009445606730878353,60.43294906616211,23563.140625,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.004803182557225227
,0.001,0.0001,0.01,0.001,77,,,,,,,,,,,,,,,,,,,
0,,,,,77,268.9693298339844,10.993903160095215,0.026992954313755035,0.009445606730878353,60.43294906616211,36172.25,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.0054653966799378395
,0.001,0.0001,0.01,0.001,78,,,,,,,,,,,,,,,,,,,
0,,,,,78,252.27516174316406,10.993903160095215,0.026992954313755035,0.009445606730878353,60.43294906616211,31821.376953125,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.005140184424817562
,0.001,0.0001,0.01,0.001,79,,,,,,,,,,,,,,,,,,,
0,,,,,79,305.0277404785156,10.993903160095215,0.026992954313755035,0.009445606730878353,60.43294906616211,46520.9609375,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.00890624150633812
,0.001,0.0001,0.01,0.001,80,,,,,,,,,,,,,,,,,,,
0,,,,,80,213.06979370117188,10.993903160095215,0.026992954313755035,0.009445606730878353,60.43294906616211,22699.369140625,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.005674515385180712
,0.001,0.0001,0.01,0.001,81,,,,,,,,,,,,,,,,,,,
0,,,,,81,264.1310119628906,10.993903160095215,0.026992954313755035,0.009445606730878353,60.43294906616211,34882.59765625,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.005902619566768408
,0.001,0.0001,0.01,0.001,82,,,,,,,,,,,,,,,,,,,
0,,,,,82,54.870826721191406,10.993903160095215,0.026992954313755035,0.009445606730878353,60.43294906616211,1505.40380859375,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.0058242520317435265
,0.001,0.0001,0.01,0.001,83,,,,,,,,,,,,,,,,,,,
0,,,,,83,209.7165069580078,10.993903160095215,0.026992954313755035,0.009445606730878353,60.43294906616211,21990.5078125,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.005715486127883196
